;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 7/4/2017 9:26:14 PM
;----------------------------------------------

;Address Opcode 	ASM
0x00DC	0xF000C01F  	MOVFF       _temp, R0
0x00E0	0xF001C020  	MOVFF       _temp+1, R1
0x00E4	0xD9C4      	RCALL       _Div_16X16_U
0x00E6	0xF01FC000  	MOVFF       R0, _temp
0x00EA	0xF020C001  	MOVFF       R1, _temp+1
;projetoFinal2.c,81 :: 		ucContador++;
0x00EE	0x2A17      	INCF        _ucContador, 1 
;projetoFinal2.c,82 :: 		EEPROM_Write(ucContador+1,0x30+(temp%10));
0x00F0	0x5017      	MOVF        _ucContador, 0 
0x00F2	0x0F01      	ADDLW       1
0x00F4	0x6E37      	MOVWF       FARG_EEPROM_Write_address 
0x00F6	0x0E0A      	MOVLW       10
0x00F8	0x6E04      	MOVWF       R4 
0x00FA	0x0E00      	MOVLW       0
0x00FC	0x6E05      	MOVWF       R5 
0x00FE	0xD9B7      	RCALL       _Div_16X16_U
0x0100	0xF000C008  	MOVFF       R8, R0
0x0104	0xF001C009  	MOVFF       R9, R1
0x0108	0x5000      	MOVF        R0, 0 
0x010A	0x0F30      	ADDLW       48
0x010C	0x6E38      	MOVWF       FARG_EEPROM_Write_data_ 
0x010E	0xD9CA      	RCALL       _EEPROM_Write
;projetoFinal2.c,83 :: 		ucContador++;
0x0110	0x2A17      	INCF        _ucContador, 1 
;projetoFinal2.c,84 :: 		}
L_interrupt6:
;projetoFinal2.c,86 :: 		INTCON.TMR0IF = 0;       // Limpa o flag de estouro do timer0 para uma nova contagem de tempo.
0x0112	0x94F2      	BCF         INTCON, 2 
;projetoFinal2.c,88 :: 		}
L_interrupt0:
;projetoFinal2.c,89 :: 		}
L_end_interrupt:
L__interrupt10:
0x0114	0xF000C016  	MOVFF       22, R0
0x0118	0xF001C015  	MOVFF       21, R1
0x011C	0x0011      	RETFIE      1
; end of _interrupt
_Delay_50us:
;__Lib_Delays.c,19 :: 		void Delay_50us() {
;__Lib_Delays.c,20 :: 		Delay_us(50);
0x011E	0x0E21      	MOVLW       33
0x0120	0x6E0D      	MOVWF       R13, 0
L_Delay_50us2:
0x0122	0x2E0D      	DECFSZ      R13, 1, 0
0x0124	0xD7FE      	BRA         L_Delay_50us2
;__Lib_Delays.c,21 :: 		}
L_end_Delay_50us:
0x0126	0x0012      	RETURN      0
; end of _Delay_50us
_Delay_5500us:
;__Lib_Delays.c,31 :: 		void Delay_5500us() {
;__Lib_Delays.c,32 :: 		Delay_us(5500);
0x0128	0x0E0F      	MOVLW       15
0x012A	0x6E0C      	MOVWF       R12, 0
0x012C	0x0E47      	MOVLW       71
0x012E	0x6E0D      	MOVWF       R13, 0
L_Delay_5500us5:
0x0130	0x2E0D      	DECFSZ      R13, 1, 0
0x0132	0xD7FE      	BRA         L_Delay_5500us5
0x0134	0x2E0C      	DECFSZ      R12, 1, 0
0x0136	0xD7FC      	BRA         L_Delay_5500us5
0x0138	0x0000      	NOP
0x013A	0x0000      	NOP
;__Lib_Delays.c,33 :: 		}
L_end_Delay_5500us:
0x013C	0x0012      	RETURN      0
; end of _Delay_5500us
_Delay_1us:
;__Lib_Delays.c,7 :: 		void Delay_1us() {
;__Lib_Delays.c,8 :: 		Delay_us(1);
0x013E	0x0000      	NOP
0x0140	0x0000      	NOP
;__Lib_Delays.c,9 :: 		}
L_end_Delay_1us:
0x0142	0x0012      	RETURN      0
; end of _Delay_1us
_Lcd_Cmd:
;__Lib_Lcd.c,18 :: 		
;__Lib_Lcd.c,20 :: 		
0x0144	0xBE41      	BTFSC       FARG_Lcd_Cmd_out_char, 7 
0x0146	0xD002      	BRA         L__Lcd_Cmd21
0x0148	0x9E83      	BCF         LCD_D7, BitPos(LCD_D7+0) 
0x014A	0xD001      	BRA         L__Lcd_Cmd22
L__Lcd_Cmd21:
0x014C	0x8E83      	BSF         LCD_D7, BitPos(LCD_D7+0) 
L__Lcd_Cmd22:
;__Lib_Lcd.c,21 :: 		
0x014E	0xBC41      	BTFSC       FARG_Lcd_Cmd_out_char, 6 
0x0150	0xD002      	BRA         L__Lcd_Cmd23
0x0152	0x9C83      	BCF         LCD_D6, BitPos(LCD_D6+0) 
0x0154	0xD001      	BRA         L__Lcd_Cmd24
L__Lcd_Cmd23:
0x0156	0x8C83      	BSF         LCD_D6, BitPos(LCD_D6+0) 
L__Lcd_Cmd24:
;__Lib_Lcd.c,22 :: 		
0x0158	0xBA41      	BTFSC       FARG_Lcd_Cmd_out_char, 5 
0x015A	0xD002      	BRA         L__Lcd_Cmd25
0x015C	0x9A83      	BCF         LCD_D5, BitPos(LCD_D5+0) 
0x015E	0xD001      	BRA         L__Lcd_Cmd26
L__Lcd_Cmd25:
0x0160	0x8A83      	BSF         LCD_D5, BitPos(LCD_D5+0) 
L__Lcd_Cmd26:
;__Lib_Lcd.c,23 :: 		
0x0162	0xB841      	BTFSC       FARG_Lcd_Cmd_out_char, 4 
0x0164	0xD002      	BRA         L__Lcd_Cmd27
0x0166	0x9883      	BCF         LCD_D4, BitPos(LCD_D4+0) 
0x0168	0xD001      	BRA         L__Lcd_Cmd28
L__Lcd_Cmd27:
0x016A	0x8883      	BSF         LCD_D4, BitPos(LCD_D4+0) 
L__Lcd_Cmd28:
;__Lib_Lcd.c,25 :: 		
0x016C	0xB031      	BTFSC       __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
0x016E	0xD002      	BRA         L__Lcd_Cmd29
0x0170	0x8484      	BSF         LCD_RS, BitPos(LCD_RS+0) 
0x0172	0xD001      	BRA         L__Lcd_Cmd30
L__Lcd_Cmd29:
0x0174	0x9484      	BCF         LCD_RS, BitPos(LCD_RS+0) 
L__Lcd_Cmd30:
;__Lib_Lcd.c,28 :: 		
0x0176	0x8284      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,29 :: 		
0x0178	0xDFE2      	RCALL       _Delay_1us
;__Lib_Lcd.c,30 :: 		
0x017A	0x9284      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,33 :: 		
0x017C	0xB641      	BTFSC       FARG_Lcd_Cmd_out_char, 3 
0x017E	0xD002      	BRA         L__Lcd_Cmd31
0x0180	0x9E83      	BCF         LCD_D7, BitPos(LCD_D7+0) 
0x0182	0xD001      	BRA         L__Lcd_Cmd32
L__Lcd_Cmd31:
0x0184	0x8E83      	BSF         LCD_D7, BitPos(LCD_D7+0) 
L__Lcd_Cmd32:
;__Lib_Lcd.c,34 :: 		
0x0186	0xB441      	BTFSC       FARG_Lcd_Cmd_out_char, 2 
0x0188	0xD002      	BRA         L__Lcd_Cmd33
0x018A	0x9C83      	BCF         LCD_D6, BitPos(LCD_D6+0) 
0x018C	0xD001      	BRA         L__Lcd_Cmd34
L__Lcd_Cmd33:
0x018E	0x8C83      	BSF         LCD_D6, BitPos(LCD_D6+0) 
L__Lcd_Cmd34:
;__Lib_Lcd.c,35 :: 		
0x0190	0xB241      	BTFSC       FARG_Lcd_Cmd_out_char, 1 
0x0192	0xD002      	BRA         L__Lcd_Cmd35
0x0194	0x9A83      	BCF         LCD_D5, BitPos(LCD_D5+0) 
0x0196	0xD001      	BRA         L__Lcd_Cmd36
L__Lcd_Cmd35:
0x0198	0x8A83      	BSF         LCD_D5, BitPos(LCD_D5+0) 
L__Lcd_Cmd36:
;__Lib_Lcd.c,36 :: 		
0x019A	0xB041      	BTFSC       FARG_Lcd_Cmd_out_char, 0 
0x019C	0xD002      	BRA         L__Lcd_Cmd37
0x019E	0x9883      	BCF         LCD_D4, BitPos(LCD_D4+0) 
0x01A0	0xD001      	BRA         L__Lcd_Cmd38
L__Lcd_Cmd37:
0x01A2	0x8883      	BSF         LCD_D4, BitPos(LCD_D4+0) 
L__Lcd_Cmd38:
;__Lib_Lcd.c,38 :: 		
0x01A4	0xB031      	BTFSC       __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
0x01A6	0xD002      	BRA         L__Lcd_Cmd39
0x01A8	0x8484      	BSF         LCD_RS, BitPos(LCD_RS+0) 
0x01AA	0xD001      	BRA         L__Lcd_Cmd40
L__Lcd_Cmd39:
0x01AC	0x9484      	BCF         LCD_RS, BitPos(LCD_RS+0) 
L__Lcd_Cmd40:
;__Lib_Lcd.c,40 :: 		
0x01AE	0x8284      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,41 :: 		
0x01B0	0xDFC6      	RCALL       _Delay_1us
;__Lib_Lcd.c,42 :: 		
0x01B2	0x9284      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,44 :: 		
0x01B4	0xA031      	BTFSS       __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
0x01B6	0xD002      	BRA         L_Lcd_Cmd0
;__Lib_Lcd.c,45 :: 		
0x01B8	0xDFB7      	RCALL       _Delay_5500us
0x01BA	0xD001      	BRA         L_Lcd_Cmd1
L_Lcd_Cmd0:
;__Lib_Lcd.c,47 :: 		
0x01BC	0xDFB0      	RCALL       _Delay_50us
L_Lcd_Cmd1:
;__Lib_Lcd.c,48 :: 		
L_end_Lcd_Cmd:
0x01BE	0x0012      	RETURN      0
; end of _Lcd_Cmd
_Lcd_Chr:
;__Lib_Lcd.c,65 :: 		
;__Lib_Lcd.c,66 :: 		
0x01C0	0xD00F      	BRA         L_Lcd_Chr4
;__Lib_Lcd.c,67 :: 		
L_Lcd_Chr6:
0x01C2	0x0E80      	MOVLW       128
0x01C4	0x6E3E      	MOVWF       FARG_Lcd_Chr_row 
0x01C6	0xD019      	BRA         L_Lcd_Chr5
;__Lib_Lcd.c,68 :: 		
L_Lcd_Chr7:
0x01C8	0x0EC0      	MOVLW       192
0x01CA	0x6E3E      	MOVWF       FARG_Lcd_Chr_row 
0x01CC	0xD016      	BRA         L_Lcd_Chr5
;__Lib_Lcd.c,69 :: 		
L_Lcd_Chr8:
0x01CE	0x0E94      	MOVLW       148
0x01D0	0x6E3E      	MOVWF       FARG_Lcd_Chr_row 
0x01D2	0xD013      	BRA         L_Lcd_Chr5
;__Lib_Lcd.c,70 :: 		
L_Lcd_Chr9:
0x01D4	0x0ED4      	MOVLW       212
0x01D6	0x6E3E      	MOVWF       FARG_Lcd_Chr_row 
0x01D8	0xD010      	BRA         L_Lcd_Chr5
;__Lib_Lcd.c,71 :: 		
L_Lcd_Chr10:
0x01DA	0x0E80      	MOVLW       128
0x01DC	0x6E3E      	MOVWF       FARG_Lcd_Chr_row 
;__Lib_Lcd.c,72 :: 		
0x01DE	0xD00D      	BRA         L_Lcd_Chr5
L_Lcd_Chr4:
0x01E0	0x503E      	MOVF        FARG_Lcd_Chr_row, 0 
0x01E2	0x0A01      	XORLW       1
0x01E4	0xE0EE      	BZ          L_Lcd_Chr6
0x01E6	0x503E      	MOVF        FARG_Lcd_Chr_row, 0 
0x01E8	0x0A02      	XORLW       2
0x01EA	0xE0EE      	BZ          L_Lcd_Chr7
0x01EC	0x503E      	MOVF        FARG_Lcd_Chr_row, 0 
0x01EE	0x0A03      	XORLW       3
0x01F0	0xE0EE      	BZ          L_Lcd_Chr8
0x01F2	0x503E      	MOVF        FARG_Lcd_Chr_row, 0 
0x01F4	0x0A04      	XORLW       4
0x01F6	0xE0EE      	BZ          L_Lcd_Chr9
0x01F8	0xD7F0      	BRA         L_Lcd_Chr10
L_Lcd_Chr5:
;__Lib_Lcd.c,74 :: 		
0x01FA	0x043F      	DECF        FARG_Lcd_Chr_column, 0 
0x01FC	0x6E00      	MOVWF       R0 
0x01FE	0x503E      	MOVF        FARG_Lcd_Chr_row, 0 
0x0200	0x2600      	ADDWF       R0, 1 
0x0202	0xF03EC000  	MOVFF       R0, FARG_Lcd_Chr_row
;__Lib_Lcd.c,76 :: 		
0x0206	0x8031      	BSF         __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
;__Lib_Lcd.c,77 :: 		
0x0208	0xF041C000  	MOVFF       R0, FARG_Lcd_Cmd_out_char
0x020C	0xDF9B      	RCALL       _Lcd_Cmd
;__Lib_Lcd.c,79 :: 		
0x020E	0x9031      	BCF         __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
;__Lib_Lcd.c,80 :: 		
0x0210	0xF041C040  	MOVFF       FARG_Lcd_Chr_out_char, FARG_Lcd_Cmd_out_char
0x0214	0xDF97      	RCALL       _Lcd_Cmd
;__Lib_Lcd.c,81 :: 		
0x0216	0x8031      	BSF         __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
;__Lib_Lcd.c,82 :: 		
L_end_Lcd_Chr:
0x0218	0x0012      	RETURN      0
; end of _Lcd_Chr
_Lcd_Chr_CP:
;__Lib_Lcd.c,50 :: 		
;__Lib_Lcd.c,52 :: 		
0x021A	0x9031      	BCF         __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
;__Lib_Lcd.c,53 :: 		
0x021C	0xF041C03E  	MOVFF       FARG_Lcd_Chr_CP_out_char, FARG_Lcd_Cmd_out_char
0x0220	0xDF91      	RCALL       _Lcd_Cmd
;__Lib_Lcd.c,54 :: 		
0x0222	0x8031      	BSF         __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
;__Lib_Lcd.c,55 :: 		
L_end_Lcd_Chr_CP:
0x0224	0x0012      	RETURN      0
; end of _Lcd_Chr_CP
_I2C1_Is_Idle:
;__Lib_I2C_c34.c,29 :: 		
;__Lib_I2C_c34.c,30 :: 		
0x0226	0xB4C7      	BTFSC       SSPSTAT, 2 
0x0228	0xD009      	BRA         L_I2C1_Is_Idle0
;__Lib_I2C_c34.c,31 :: 		
0x022A	0x0E1F      	MOVLW       31
0x022C	0x14C5      	ANDWF       SSPCON2, 0 
0x022E	0x6E01      	MOVWF       R1 
0x0230	0x5001      	MOVF        R1, 0 
0x0232	0x0A00      	XORLW       0
0x0234	0xE103      	BNZ         L_I2C1_Is_Idle1
;__Lib_I2C_c34.c,32 :: 		
0x0236	0x0E01      	MOVLW       1
0x0238	0x6E00      	MOVWF       R0 
0x023A	0xD001      	BRA         L_end_I2C1_Is_Idle
L_I2C1_Is_Idle1:
L_I2C1_Is_Idle0:
;__Lib_I2C_c34.c,33 :: 		
0x023C	0x6A00      	CLRF        R0 
;__Lib_I2C_c34.c,34 :: 		
L_end_I2C1_Is_Idle:
0x023E	0x0012      	RETURN      0
; end of _I2C1_Is_Idle
_Lcd_Out:
;__Lib_Lcd.c,184 :: 		
;__Lib_Lcd.c,187 :: 		
0x0240	0xD00F      	BRA         L_Lcd_Out11
;__Lib_Lcd.c,188 :: 		
L_Lcd_Out13:
0x0242	0x0E80      	MOVLW       128
0x0244	0x6E39      	MOVWF       FARG_Lcd_Out_row 
0x0246	0xD019      	BRA         L_Lcd_Out12
;__Lib_Lcd.c,189 :: 		
L_Lcd_Out14:
0x0248	0x0EC0      	MOVLW       192
0x024A	0x6E39      	MOVWF       FARG_Lcd_Out_row 
0x024C	0xD016      	BRA         L_Lcd_Out12
;__Lib_Lcd.c,190 :: 		
L_Lcd_Out15:
0x024E	0x0E94      	MOVLW       148
0x0250	0x6E39      	MOVWF       FARG_Lcd_Out_row 
0x0252	0xD013      	BRA         L_Lcd_Out12
;__Lib_Lcd.c,191 :: 		
L_Lcd_Out16:
0x0254	0x0ED4      	MOVLW       212
0x0256	0x6E39      	MOVWF       FARG_Lcd_Out_row 
0x0258	0xD010      	BRA         L_Lcd_Out12
;__Lib_Lcd.c,192 :: 		
L_Lcd_Out17:
0x025A	0x0E80      	MOVLW       128
0x025C	0x6E39      	MOVWF       FARG_Lcd_Out_row 
;__Lib_Lcd.c,193 :: 		
0x025E	0xD00D      	BRA         L_Lcd_Out12
L_Lcd_Out11:
0x0260	0x5039      	MOVF        FARG_Lcd_Out_row, 0 
0x0262	0x0A01      	XORLW       1
0x0264	0xE0EE      	BZ          L_Lcd_Out13
0x0266	0x5039      	MOVF        FARG_Lcd_Out_row, 0 
0x0268	0x0A02      	XORLW       2
0x026A	0xE0EE      	BZ          L_Lcd_Out14
0x026C	0x5039      	MOVF        FARG_Lcd_Out_row, 0 
0x026E	0x0A03      	XORLW       3
0x0270	0xE0EE      	BZ          L_Lcd_Out15
0x0272	0x5039      	MOVF        FARG_Lcd_Out_row, 0 
0x0274	0x0A04      	XORLW       4
0x0276	0xE0EE      	BZ          L_Lcd_Out16
0x0278	0xD7F0      	BRA         L_Lcd_Out17
L_Lcd_Out12:
;__Lib_Lcd.c,194 :: 		
0x027A	0x043A      	DECF        FARG_Lcd_Out_column, 0 
0x027C	0x6E00      	MOVWF       R0 
0x027E	0x5039      	MOVF        FARG_Lcd_Out_row, 0 
0x0280	0x2600      	ADDWF       R0, 1 
0x0282	0xF039C000  	MOVFF       R0, FARG_Lcd_Out_row
;__Lib_Lcd.c,196 :: 		
0x0286	0xF041C000  	MOVFF       R0, FARG_Lcd_Cmd_out_char
0x028A	0xDF5C      	RCALL       _Lcd_Cmd
;__Lib_Lcd.c,197 :: 		
0x028C	0x9031      	BCF         __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
;__Lib_Lcd.c,198 :: 		
0x028E	0x6A3D      	CLRF        Lcd_Out_i_L0 
;__Lib_Lcd.c,199 :: 		
L_Lcd_Out18:
0x0290	0x503D      	MOVF        Lcd_Out_i_L0, 0 
0x0292	0x243B      	ADDWF       FARG_Lcd_Out_text, 0 
0x0294	0x6EE9      	MOVWF       FSR0L 
0x0296	0x0E00      	MOVLW       0
0x0298	0x203C      	ADDWFC      FARG_Lcd_Out_text+1, 0 
0x029A	0x6EEA      	MOVWF       FSR0H 
0x029C	0x52EE      	MOVF        POSTINC0, 1 
0x029E	0xE00B      	BZ          L_Lcd_Out19
;__Lib_Lcd.c,200 :: 		
0x02A0	0x503D      	MOVF        Lcd_Out_i_L0, 0 
0x02A2	0x243B      	ADDWF       FARG_Lcd_Out_text, 0 
0x02A4	0x6EE9      	MOVWF       FSR0L 
0x02A6	0x0E00      	MOVLW       0
0x02A8	0x203C      	ADDWFC      FARG_Lcd_Out_text+1, 0 
0x02AA	0x6EEA      	MOVWF       FSR0H 
0x02AC	0xF03ECFEE  	MOVFF       POSTINC0, FARG_Lcd_Chr_CP_out_char
0x02B0	0xDFB4      	RCALL       _Lcd_Chr_CP
0x02B2	0x2A3D      	INCF        Lcd_Out_i_L0, 1 
0x02B4	0xD7ED      	BRA         L_Lcd_Out18
L_Lcd_Out19:
;__Lib_Lcd.c,201 :: 		
0x02B6	0x8031      	BSF         __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
;__Lib_Lcd.c,202 :: 		
L_end_Lcd_Out:
0x02B8	0x0012      	RETURN      0
; end of _Lcd_Out
_Delay_22us:
;__Lib_Delays.c,15 :: 		void Delay_22us() {
;__Lib_Delays.c,16 :: 		Delay_us(22);
0x02BA	0x0E0E      	MOVLW       14
0x02BC	0x6E0D      	MOVWF       R13, 0
L_Delay_22us1:
0x02BE	0x2E0D      	DECFSZ      R13, 1, 0
0x02C0	0xD7FE      	BRA         L_Delay_22us1
0x02C2	0x0000      	NOP
;__Lib_Delays.c,17 :: 		}
L_end_Delay_22us:
0x02C4	0x0012      	RETURN      0
; end of _Delay_22us
_Converte_BCD:
;projetoFinal2.c,125 :: 		void Converte_BCD(unsigned char ucLinha, unsigned char ucColuna,unsigned char ucValor) {
;projetoFinal2.c,128 :: 		ucValor1 = (ucValor >> 4  ) + '0';
0x02C6	0xF040C03B  	MOVFF       FARG_Converte_BCD_ucValor, FARG_Lcd_Chr_out_char
0x02CA	0x3240      	RRCF        FARG_Lcd_Chr_out_char, 1 
0x02CC	0x9E40      	BCF         FARG_Lcd_Chr_out_char, 7 
0x02CE	0x3240      	RRCF        FARG_Lcd_Chr_out_char, 1 
0x02D0	0x9E40      	BCF         FARG_Lcd_Chr_out_char, 7 
0x02D2	0x3240      	RRCF        FARG_Lcd_Chr_out_char, 1 
0x02D4	0x9E40      	BCF         FARG_Lcd_Chr_out_char, 7 
0x02D6	0x3240      	RRCF        FARG_Lcd_Chr_out_char, 1 
0x02D8	0x9E40      	BCF         FARG_Lcd_Chr_out_char, 7 
0x02DA	0x0E30      	MOVLW       48
0x02DC	0x2640      	ADDWF       FARG_Lcd_Chr_out_char, 1 
;projetoFinal2.c,129 :: 		Lcd_Chr(ucLinha,ucColuna,ucValor1);
0x02DE	0xF03EC039  	MOVFF       FARG_Converte_BCD_ucLinha, FARG_Lcd_Chr_row
0x02E2	0xF03FC03A  	MOVFF       FARG_Converte_BCD_ucColuna, FARG_Lcd_Chr_column
0x02E6	0xDF6C      	RCALL       _Lcd_Chr
;projetoFinal2.c,130 :: 		ucValor2 = (ucValor & 0x0F) + '0';
0x02E8	0x0E0F      	MOVLW       15
0x02EA	0x143B      	ANDWF       FARG_Converte_BCD_ucValor, 0 
0x02EC	0x6E3E      	MOVWF       FARG_Lcd_Chr_CP_out_char 
0x02EE	0x0E30      	MOVLW       48
